seed,setting_name,accuracy,invalid_rate,recall_at_k,e2e_latency_ms
0,baseline_k3_full_context,0.811,0.0,0.617,92.48512250557542
0,A_remove_answer_sentence,0.482,0.0,0.617,79.30605229362845
0,B_only_answer_sentence,0.827,0.0,0.617,42.64835804188624
0,C_baseline_k1,0.779,0.0,0.465,46.58214881340973
0,C_k1_plus_random_distractor,0.769,0.0,0.465,71.56224238034338
0,D_shuffle_top3_order,0.827,0.0,0.617,90.58416104177013
1,baseline_k3_full_context,0.812,0.0,0.617,87.35040912940167
1,A_remove_answer_sentence,0.482,0.0,0.617,76.07244125939906
1,B_only_answer_sentence,0.816,0.0,0.617,40.7977930365596
1,C_baseline_k1,0.774,0.0,0.465,44.667482912773266
1,C_k1_plus_random_distractor,0.76,0.0,0.465,66.93632460804656
1,D_shuffle_top3_order,0.82,0.0,0.617,86.56202674657106
2,baseline_k3_full_context,0.805,0.0,0.617,89.69485928118229
2,A_remove_answer_sentence,0.483,0.0,0.617,78.3949605433736
2,B_only_answer_sentence,0.813,0.0,0.617,42.029150183778256
2,C_baseline_k1,0.772,0.0,0.465,45.8869056312833
2,C_k1_plus_random_distractor,0.769,0.0,0.465,68.52340779267251
2,D_shuffle_top3_order,0.809,0.0,0.617,89.43562856223434
