run_id,chunk_size,top_k,embedding_model,accuracy,recall_at_k,mrr,invalid_rate,retrieval_latency_ms,e2e_latency_ms,avg_input_tokens,avg_output_tokens
llm_only_validation_n200_seed0_20260305_191421,0,0,none,0.45,0.0,0.0,0.0,0.0,34.65629210695624,68.31,3.0
rag_all-MiniLM-L6-v2_chunk256_k1_validation_n200_seed0_20260305_191421,256,1,all-MiniLM-L6-v2,0.765,0.485,0.485,0.0,0.8767485362477601,55.296600830042735,150.515,3.0
rag_all-MiniLM-L6-v2_chunk256_k3_validation_n200_seed0_20260305_191421,256,3,all-MiniLM-L6-v2,0.84,0.61,0.5425,0.0,0.5133816436864436,91.87947623664513,355.05,3.0
rag_all-MiniLM-L6-v2_chunk256_k5_validation_n200_seed0_20260305_191421,256,5,all-MiniLM-L6-v2,0.83,0.68,0.5582499999999999,0.005,0.47236980870366096,148.88301916071214,554.41,3.055
rag_all-MiniLM-L6-v2_chunk512_k1_validation_n200_seed0_20260305_191421,512,1,all-MiniLM-L6-v2,0.76,0.485,0.485,0.0,0.45343100908212364,48.85804083896801,151.31,3.0
rag_all-MiniLM-L6-v2_chunk512_k3_validation_n200_seed0_20260305_191421,512,3,all-MiniLM-L6-v2,0.82,0.615,0.5449999999999998,0.0,0.4412756208330393,93.63591081579216,366.365,3.0
rag_all-MiniLM-L6-v2_chunk512_k5_validation_n200_seed0_20260305_191421,512,5,all-MiniLM-L6-v2,0.805,0.68,0.5595,0.005,0.4509775119367987,152.02130710938945,557.605,3.035
rag_all-MiniLM-L6-v2_chunk1024_k1_validation_n200_seed0_20260305_191421,1024,1,all-MiniLM-L6-v2,0.76,0.485,0.485,0.0,0.4496183025185019,48.31079040537588,151.31,3.0
rag_all-MiniLM-L6-v2_chunk1024_k3_validation_n200_seed0_20260305_191421,1024,3,all-MiniLM-L6-v2,0.82,0.615,0.5449999999999998,0.0,0.4539308440871537,93.62774498062208,366.53,3.0
rag_all-MiniLM-L6-v2_chunk1024_k5_validation_n200_seed0_20260305_191421,1024,5,all-MiniLM-L6-v2,0.805,0.68,0.5595,0.005,0.48208536580204964,153.78816251643002,556.58,3.035
rag_msmarco-MiniLM-L6-v3_chunk256_k1_validation_n200_seed0_20260305_191421,256,1,msmarco-MiniLM-L6-v3,0.79,0.535,0.535,0.0,0.4959768522530794,60.09289977722801,169.155,3.0
rag_msmarco-MiniLM-L6-v3_chunk256_k3_validation_n200_seed0_20260305_191421,256,3,msmarco-MiniLM-L6-v3,0.83,0.66,0.5908333333333333,0.0,0.512143726227805,91.67016876745038,364.47,3.0
rag_msmarco-MiniLM-L6-v3_chunk256_k5_validation_n200_seed0_20260305_191421,256,5,msmarco-MiniLM-L6-v3,0.83,0.675,0.5943333333333334,0.0,0.503753311932087,160.0371464388445,584.98,3.0
rag_msmarco-MiniLM-L6-v3_chunk512_k1_validation_n200_seed0_20260305_191421,512,1,msmarco-MiniLM-L6-v3,0.785,0.525,0.525,0.0,0.4391735407989472,48.47507558995858,169.185,3.0
rag_msmarco-MiniLM-L6-v3_chunk512_k3_validation_n200_seed0_20260305_191421,512,3,msmarco-MiniLM-L6-v3,0.815,0.655,0.5825,0.0,0.4404700128361583,90.69808245869353,364.245,3.0
rag_msmarco-MiniLM-L6-v3_chunk512_k5_validation_n200_seed0_20260305_191421,512,5,msmarco-MiniLM-L6-v3,0.795,0.67,0.58625,0.0,0.4598747589625418,161.58514373702928,586.675,3.04
rag_msmarco-MiniLM-L6-v3_chunk1024_k1_validation_n200_seed0_20260305_191421,1024,1,msmarco-MiniLM-L6-v3,0.785,0.525,0.525,0.0,0.4513212258461863,52.3573508055415,169.185,3.0
rag_msmarco-MiniLM-L6-v3_chunk1024_k3_validation_n200_seed0_20260305_191421,1024,3,msmarco-MiniLM-L6-v3,0.815,0.655,0.5825,0.0,0.45286916429176927,92.03753602225333,364.08,3.0
rag_msmarco-MiniLM-L6-v3_chunk1024_k5_validation_n200_seed0_20260305_191421,1024,5,msmarco-MiniLM-L6-v3,0.795,0.67,0.58625,0.0,0.4725153895560652,160.3268768521957,585.56,3.075
